epoch,acc,loss,top_k_categorical_accuracy,val_acc,val_loss,val_top_k_categorical_accuracy
0,0.6653125,1.294628040790558,0.869375,0.465625,2.0082555294036863,0.76875
1,0.7059375,1.1149551665782929,0.8990625,0.471875,1.896596372127533,0.771875
2,0.710625,1.0780309656262397,0.9028125,0.525,1.7872400760650635,0.809375
3,0.7378125,1.0192899560928346,0.914375,0.590625,1.5582324862480164,0.8375
4,0.7378125,0.9986683487892151,0.9190625,0.546875,1.6898931026458741,0.815625
5,0.7559375,0.9040894064307213,0.9303125,0.5125,1.873822569847107,0.784375
6,0.7640625,0.9160357016324997,0.9275,0.5375,1.7177770853042602,0.803125
7,0.7615625,0.8684151628613472,0.9346875,0.534375,1.7786622524261475,0.7875
8,0.7825,0.8195610442757606,0.9359375,0.51875,1.7361836433410645,0.8
9,0.77,0.8661771415174008,0.9296875,0.5125,1.8309480905532838,0.7875
10,0.7721875,0.8429932668805122,0.931875,0.578125,1.6006702423095702,0.83125
11,0.790625,0.7652894526720047,0.9471875,0.525,1.7693832635879516,0.8375
12,0.77625,0.8072025093436241,0.9440625,0.525,1.8070208430290222,0.809375
13,0.7896875,0.7881171962618828,0.9446875,0.525,1.8979496836662293,0.7875
