epoch,acc,loss,top_k_categorical_accuracy,val_acc,val_loss,val_top_k_categorical_accuracy
0,0.7728125,0.8519586488604546,0.9315625,0.553125,1.9941949248313904,0.796875
1,0.808125,0.7131942996382713,0.9528125,0.5375,2.0395585179328917,0.83125
2,0.8209375,0.6489313021302223,0.9621875,0.571875,2.081023943424225,0.790625
3,0.8190625,0.6304215586185455,0.9578125,0.559375,1.9514477252960205,0.796875
4,0.8346875,0.5921177260577679,0.9590625,0.565625,1.8764141857624055,0.825
5,0.83,0.5870087377727031,0.9640625,0.609375,1.7125244975090026,0.85
6,0.8346875,0.5610979762673378,0.9640625,0.5625,1.8925499200820923,0.828125
7,0.8421875,0.5356211930513382,0.969375,0.59375,1.8151770114898682,0.840625
8,0.8534375,0.5240235044062138,0.9678125,0.559375,1.8947547316551208,0.8125
9,0.8509375,0.5391334412992,0.9659375,0.534375,2.012914800643921,0.815625
10,0.8559375,0.5219286318123341,0.9671875,0.596875,1.7946081757545471,0.853125
11,0.8634375,0.4840497362613678,0.973125,0.6,1.619528090953827,0.8625
12,0.8603125,0.49966814965009687,0.9684375,0.5625,1.8746773719787597,0.846875
13,0.8646875,0.4605280947685242,0.9771875,0.553125,1.9328599572181702,0.809375
14,0.870625,0.4577317960560322,0.9715625,0.603125,1.8316665410995483,0.8375
15,0.870625,0.44700050994753837,0.975625,0.54375,1.9390186667442322,0.85
16,0.868125,0.4413948979973793,0.9759375,0.53125,2.1837849497795103,0.775
17,0.87375,0.4377266809344292,0.973125,0.55,1.9615375518798828,0.821875
18,0.87125,0.45119968488812445,0.97625,0.56875,1.8704051852226258,0.803125
19,0.879375,0.42741549283266067,0.9796875,0.534375,2.0837576508522035,0.8125
20,0.8759375,0.4449677672982216,0.975625,0.58125,1.8487952828407288,0.81875
21,0.8853125,0.39778716780245305,0.9775,0.575,1.896671748161316,0.828125
22,0.8834375,0.41031174577772617,0.97625,0.584375,1.9896185278892518,0.79375
23,0.898125,0.35357317350804807,0.9865625,0.603125,1.8604073166847228,0.809375
24,0.8903125,0.37617640793323515,0.98125,0.553125,1.9957463204860688,0.821875
25,0.8971875,0.36833148561418055,0.9828125,0.584375,1.7582119226455688,0.85
26,0.8975,0.3640990198403597,0.983125,0.571875,2.0109064102172853,0.840625
27,0.893125,0.38578651450574397,0.9765625,0.609375,1.8514946579933167,0.821875
28,0.8990625,0.35374651461839673,0.985,0.534375,2.0663734078407288,0.79375
29,0.8975,0.3694851250573993,0.98,0.6125,1.743201744556427,0.828125
30,0.9015625,0.355690723657608,0.9784375,0.55,2.233233654499054,0.796875
31,0.905625,0.34042812041938303,0.984375,0.5875,2.0838741064071655,0.809375
32,0.91,0.322361765652895,0.9846875,0.59375,1.8853710770606995,0.840625
33,0.9034375,0.3269137824326754,0.9865625,0.6125,1.7166210174560548,0.853125
34,0.9009375,0.33507813803851605,0.9846875,0.621875,1.6638566493988036,0.834375
35,0.9096875,0.31163296967744825,0.9853125,0.6375,1.601431393623352,0.865625
36,0.9015625,0.3599234773218632,0.9825,0.640625,1.6515958666801454,0.8625
37,0.909375,0.3242464933544397,0.984375,0.590625,1.827955412864685,0.84375
38,0.900625,0.3255853422731161,0.9846875,0.609375,1.7870740056037904,0.828125
39,0.9153125,0.3060057137906551,0.98625,0.534375,2.130012547969818,0.8125
40,0.916875,0.29457483388483524,0.9878125,0.56875,2.070375144481659,0.828125
41,0.9109375,0.3058142726495862,0.9853125,0.584375,2.1427823305130005,0.79375
42,0.92125,0.2769614377617836,0.9896875,0.596875,1.8025387465953826,0.840625
43,0.91125,0.31432557553052903,0.98625,0.578125,1.9022863864898683,0.821875
44,0.915625,0.2865578781813383,0.9878125,0.56875,1.9369152426719665,0.828125
45,0.91375,0.304451014995575,0.986875,0.60625,2.061882293224335,0.8125
46,0.9215625,0.2734772941842675,0.989375,0.565625,1.940085196495056,0.821875
47,0.925,0.2603708682209253,0.9890625,0.61875,1.8126773297786714,0.840625
48,0.9159375,0.2774565623700619,0.9878125,0.590625,1.805119478702545,0.840625
49,0.925,0.2667643158510327,0.9890625,0.6375,1.8000173091888427,0.840625
50,0.930625,0.24695351094007492,0.9915625,0.578125,2.0224519610404967,0.825
51,0.9209375,0.27062582165002824,0.990625,0.603125,1.708424150943756,0.85625
52,0.9309375,0.2511611840873957,0.9875,0.628125,1.6258419811725617,0.859375
53,0.9321875,0.2572504172474146,0.9871875,0.578125,1.9977388501167297,0.8125
54,0.9240625,0.26366361379623415,0.9890625,0.575,1.8673800230026245,0.809375
55,0.9359375,0.2252684159576893,0.99125,0.546875,2.2039263248443604,0.8
56,0.9275,0.25365077510476114,0.9903125,0.621875,1.7780035257339477,0.84375
57,0.92125,0.26947397775948045,0.9875,0.575,1.8154731035232543,0.834375
58,0.9278125,0.2667101336270571,0.990625,0.60625,1.8157578110694885,0.85
59,0.933125,0.24041884414851666,0.9896875,0.609375,1.7652886629104614,0.840625
60,0.9275,0.25075907150283455,0.9884375,0.609375,1.8807079672813416,0.840625
61,0.92875,0.24323948368430137,0.9878125,0.60625,1.8999308347702026,0.8375
62,0.9259375,0.2633422067761421,0.98875,0.59375,1.8206848204135895,0.84375
63,0.929375,0.24608225226402283,0.9878125,0.628125,1.86383718252182,0.846875
64,0.925625,0.25346453610807657,0.9903125,0.578125,2.027165949344635,0.81875
65,0.935625,0.2384799687564373,0.9925,0.55625,2.1282604217529295,0.80625
