epoch,acc,loss,top_k_categorical_accuracy,val_acc,val_loss,val_top_k_categorical_accuracy
0,0.08373091603053436,4.353736420624129,0.21326335877862596,0.3625,3.677868312597275,0.5828125
1,0.2904341603053435,3.2248541253213663,0.5418654580152672,0.4578125,2.110233786702156,0.7609375
2,0.446087786259542,2.2340972628302245,0.7347328244274809,0.57421875,1.6130685001611709,0.82265625
3,0.5490219465648855,1.750862222136432,0.8196564885496184,0.5953125,1.441121792793274,0.8546875
4,0.6049618320610687,1.495121466749497,0.8597328244274809,0.584375,1.3995007634162904,0.8671875
5,0.643368320610687,1.3048799731804215,0.8897900763358778,0.67890625,1.2171247139573098,0.89140625
6,0.6780772900763359,1.1722241671940752,0.9099475190839694,0.66640625,1.1998896718025207,0.909375
7,0.7088501908396947,1.023699092728491,0.9312977099236641,0.6796875,1.2489547073841094,0.8921875
8,0.7284112595419847,0.9490276867424259,0.9423902671755725,0.68515625,1.2306799679994582,0.90546875
9,0.7540553435114504,0.8626877924868168,0.9466841603053435,0.69375,1.1426196560263633,0.9078125
10,0.7696803435114504,0.8055583129402335,0.9550333969465649,0.69765625,1.1643903240561486,0.91953125
11,0.7866173664122137,0.7397978888213179,0.9607585877862596,0.678125,1.238347278535366,0.91015625
12,0.8000954198473282,0.6807448079112832,0.9680343511450382,0.67578125,1.3256539449095726,0.90234375
13,0.8084446564885496,0.6447985753530764,0.9712547709923665,0.70078125,1.162880227714777,0.921875
14,0.8275286259541985,0.5856760153902396,0.9743559160305344,0.7078125,1.2294504791498184,0.90703125
