epoch,acc,loss,top_k_categorical_accuracy,val_acc,val_loss,val_top_k_categorical_accuracy
0,0.027552480916030533,4.562322895035489,0.10138358778625954,0.1375,4.335282123088836,0.33515625
1,0.09029103053435114,4.260575040606142,0.24785305343511452,0.35703125,3.7313592791557313,0.6203125
2,0.18773854961832062,3.7869066382182464,0.40935114503816794,0.38828125,2.93995281457901,0.65859375
3,0.2659828244274809,3.239095881695056,0.532800572519084,0.44296875,2.3336794286966325,0.7484375
4,0.34422709923664124,2.786670025068385,0.6254770992366412,0.5078125,1.9332393258810043,0.78671875
5,0.40350667938931295,2.4621954305481366,0.6886927480916031,0.56875,1.7282602667808533,0.828125
6,0.4442986641221374,2.228684373484313,0.730081106870229,0.59453125,1.6101106494665145,0.83125
7,0.48342080152671757,2.062005337868028,0.7596612595419847,0.56796875,1.5600193470716477,0.8546875
8,0.5005963740458015,1.9129254813412673,0.7899570610687023,0.60078125,1.4875058561563492,0.85625
9,0.5452051526717557,1.7672056401048908,0.8139312977099237,0.6328125,1.3389040008187294,0.86484375
10,0.5567748091603053,1.6842579805213986,0.8278864503816794,0.6125,1.4272106274962426,0.85390625
11,0.5764551526717557,1.601399747469953,0.8390982824427481,0.6296875,1.3379141837358475,0.87734375
12,0.5938692748091603,1.5195433847776807,0.8642652671755725,0.6578125,1.3127278119325638,0.86484375
13,0.6060353053435115,1.4506739421200205,0.8678435114503816,0.65625,1.2780057474970818,0.8671875
14,0.6216603053435115,1.389430488566406,0.8757156488549618,0.6515625,1.331594716012478,0.8640625
15,0.6418177480916031,1.31909200662875,0.8869274809160306,0.6515625,1.3229693189263343,0.87421875
16,0.651956106870229,1.2579826366810398,0.8961116412213741,0.6765625,1.2266156017780303,0.89140625
17,0.6623330152671756,1.2165194909081205,0.907800572519084,0.66640625,1.2263222932815552,0.896875
18,0.6688931297709924,1.1860606019733517,0.9075620229007634,0.65703125,1.3177623063325883,0.8859375
19,0.6911975190839694,1.114232636817539,0.9112595419847328,0.65390625,1.3160800978541374,0.8921875
20,0.6875,1.104631459212485,0.9126908396946565,0.66796875,1.2488742008805276,0.890625
21,0.6954914122137404,1.0622482522753358,0.9256917938931297,0.69375,1.2192409098148347,0.8984375
22,0.7185114503816794,1.0094205445915687,0.9309398854961832,0.6859375,1.2587711051106454,0.88984375
23,0.7253101145038168,0.9617291633181899,0.9377385496183206,0.65703125,1.3476036727428435,0.884375
24,0.7324666030534351,0.9473390152663675,0.9364265267175572,0.6875,1.2149334333837032,0.90546875
25,0.7404580152671756,0.8944931820831226,0.9477576335877863,0.70234375,1.119373472034931,0.921875
26,0.7559637404580153,0.8620859463023776,0.9462070610687023,0.73359375,1.0917535521090032,0.92265625
27,0.7620467557251909,0.8263060075181131,0.9512166030534351,0.72578125,1.0692527621984482,0.91796875
28,0.7596612595419847,0.840370521745609,0.9514551526717557,0.71015625,1.110754868388176,0.91640625
29,0.7758826335877863,0.7675268129083036,0.9583730916030534,0.72421875,1.1498570501804353,0.9171875
30,0.7838740458015268,0.7444048289579289,0.9598043893129771,0.72421875,1.1426472827792167,0.909375
31,0.7948473282442748,0.7058236398769699,0.9643368320610687,0.721875,1.117038357257843,0.92109375
32,0.7895992366412213,0.718273357637511,0.9632633587786259,0.7109375,1.1804661214351655,0.9140625
