epoch,acc,loss,top_k_categorical_accuracy,val_acc,val_loss,val_top_k_categorical_accuracy
0,0.23234732824427481,3.694275312751304,0.4336832061068702,0.56640625,1.999017596244812,0.80078125
1,0.501550572519084,2.046790263580002,0.7510734732824428,0.6078125,1.6817654252052308,0.8296875
2,0.6209446564885496,1.4808692645480614,0.8560353053435115,0.6734375,1.3499974027276038,0.87890625
3,0.7041984732824428,1.1400323423720498,0.9029103053435115,0.67109375,1.2751456871628761,0.890625
4,0.7589456106870229,0.9018818147423613,0.9398854961832062,0.67109375,1.2838377743959426,0.8828125
5,0.7932967557251909,0.7723005474296235,0.9499045801526718,0.74296875,1.0295279443264007,0.9109375
6,0.8271708015267175,0.6510740983804674,0.9598043893129771,0.69140625,1.2371573880314828,0.88515625
7,0.8528148854961832,0.5414856969172718,0.9713740458015268,0.715625,1.1428445234894753,0.909375
8,0.8679627862595419,0.4701196190737586,0.9799618320610687,0.7078125,1.2133395984768867,0.8953125
9,0.8837070610687023,0.4129490151660133,0.985925572519084,0.71015625,1.130964170396328,0.91171875
10,0.8926526717557252,0.3785319321483146,0.9856870229007634,0.70859375,1.1462598010897636,0.89921875
